Election Cycle ,Candidate,Board Meeting Date,Violation,Current Violation Name,Final Board Determination
2017A,"Cooper, Charles",04/18/2019,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,VNP
2017A,"Cooper, Charles",04/18/2019,Maintaining a petty cash fund greater than $500,Maintaining a petty cash fund greater than $500,$50
2017,"Brown, Everly",04/18/2019,Failing to file disclosure statements,Failing to file disclosure statements,"$5,625"
2017,"Brown, Everly",04/18/2019,Failing to provide bank statements,"Failing to provide bank, credit card, and merchant account statements",$600
2017,"Brown, Everly",04/18/2019,Failing to attend a mandatory training,Failing to attend a mandatory training,$500
2017,"Tan, Alison",04/18/2019,Filing a late disclosure statement,Filing late disclosure statements,VNP
2017,"Tan, Alison",04/18/2019,Late reporting of transactions in daily pre-election disclosure statements,Failing to report/late reporting of transactions in daily pre-election disclosure statements,$100
2017,"Tan, Alison",04/18/2019,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$615
2017,"Tischler, Harold",03/14/2019,Failing to report transactions,Failing to report transactions,$638
2017A,"Cooper, Charles",04/18/2019,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$50
2015,"Grodenchik, Barry",03/14/2019,Accepting contributions from unregistered political committees,Accepting contributions from unregistered political committees,$125
2015,"Grodenchik, Barry",03/14/2019,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$250
2015,"Grodenchik, Barry",03/14/2019,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$250
2015,"Grodenchik, Barry",03/14/2019,Failing to respond to the Initial Documentation Request,"Failing to respond/late response to IDR, DAR, etc.","$2,500"
2015,"Grodenchik, Barry",03/14/2019,Failing to provide bank and merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$500
2015,"Grodenchik, Barry",03/14/2019,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$82
2015,"Grodenchik, Barry",03/14/2019,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$100
2015,"Grodenchik, Barry",03/14/2019,Repayment: Final Bank Balance,Repayment: Final Bank Balance,$770.17
2017A,"Simmons, Dawn",02/14/2019,Submission of false or fictitious information,Material misrepresentation; fraud; submission of false or ficticious information,"$2,500"
2017A,"Simmons, Dawn",02/14/2019,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,$100
2017A,"Simmons, Dawn",02/14/2019,Breach of Certification,Breach of Certification,N/A
2017A,"Cleare, Cordell",01/17/2019,Payment: Documented Outstanding Liabilities,Payment: Documented Outstanding Liabilities,$709
2017,"Lander, Brad",01/17/2019,Failing to disclose a merchant account used in furtherance of the campaign,Failing to disclose a bank account or political committee used in furtherance of the campaign,$100
2017,"Lander, Brad",01/17/2019,Failing to provide bank statements,"Failing to provide bank, credit card, and merchant account statements",$200
2017,"Lander, Brad",01/17/2019,Failing to report transactions,Failing to report transactions,$60
2017,"Lander, Brad",01/17/2019,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$1,501"
2017,"Richards, Donovan",10/17/2019,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$365
2017A,"Cooper, Charles",04/18/2019,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$500
2017,"Tischler, Harold",03/14/2019,Failing to demonstrate compliance with reporting requirements for receipts,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$500
2017,"Richards, Donovan",10/17/2019,Filing late disclosure statements,Filing late disclosure statements,$300
2017,"Richards, Donovan",10/17/2019,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$6,260"
2017,"Lander, Brad",01/17/2019,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$750
2017,"Levine, Mark",01/17/2019,Failing to provide bank statements,"Failing to provide bank, credit card, and merchant account statements",$150
2017,"Levine, Mark",01/17/2019,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$278
2017,"Levine, Mark",01/17/2019,Accepting over-the-limit contributions,Accepting over-the-limit contributions,$375
2017,"Bashner, Richard",10/11/2018,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$3,500"
2017,"Espinal, Jr., Rafael L.",10/11/2018,Accepting over-the-limit contributions,Accepting over-the-limit contributions,$250
2017,"Espinal, Jr., Rafael L.",10/11/2018,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",$375
2017,"Espinal, Jr., Rafael L.",10/11/2018,Accepting a contribution from an unregistered political committee,Accepting a contribution from an unregistered political committee,$250
2013,"Sierra, Carlos",09/13/2018,"Accepting contributions from a corporation, limited liability company, or partnership","Accepting contributions from corporations, limited liability companies, or partnerships",$500
2013,"Sierra, Carlos",09/13/2018,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$10,000"
2013,"Sierra, Carlos",09/13/2018,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$32,492"
2017A,"Blackmon, Larry",08/09/2018,Repayment: FBB,Repayment: Final Bank Balance,"$8,289"
2017A,"Moore, Athena",08/09/2018,Payment: Documented Outstanding Liabilities,Payment: Documented Outstanding Liabilities,"$28,486"
2017A,"Perkins, Bill",08/09/2018,Payment: Unpaid PF Claims,Payment: Unpaid PF Claims,"$4,830"
2013,"Vallone, Jr., Peter",05/17/2018,Failing to file and late filing of daily pre-election disclosure statements,Failing to file/filing late disclosure statements,$187
2013,"Vallone, Jr., Peter",05/17/2018,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$100
2013,"Vallone, Jr., Peter",05/17/2018,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$12,830"
2013,"Vallone, Jr., Peter",05/17/2018,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",$720
2013,"Vallone, Jr., Peter",05/17/2018,Accepting contributions from unregistered political committees,Accepting contributions from unregistered political committees,$400
2013,"Vallone, Jr., Peter",05/17/2018,Failing to document transactions,Failing to document transactions,$300
2013,"Vallone, Jr., Peter",05/17/2018,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$3,204"
2013,"Vallone, Jr., Peter",05/17/2018,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$893
2013,"Vallone, Jr., Peter",05/17/2018,Exceeding the expenditure limit,Exceeding the expenditure limit,"$2,536"
2013,"Vallone, Jr., Peter",05/17/2018,Repayment: Overpayment and FBB,Repayment Final Bank Balance and Overpayment,"$3,090"
2016A,"Otero, Joann",01/18/2018,Failing to provide bank and merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$500
2016A,"Otero, Joann",01/18/2018,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$205
2016A,"Otero, Joann",01/18/2018,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$50
2016A,"Otero, Joann",01/18/2018,Accepting an over-the-limit contribution,Accepting over-the-limit contributions,"$1,600"
2016A,"Otero, Joann",01/18/2018,Failing to document outstanding liabilities,Failing to document outstanding liabilities,"$1,500"
2016A,"Otero, Joann",01/18/2018,Filing late disclosure statements,Failing to file/filing late disclosure statements,$650
2016A,"Otero, Joann",01/18/2018,Late response to the Initial Documentation Request,"Failing to respond/late response to IDR, DAR, etc.",$50
2013,"Menin, Julie",12/14/2017,Failing to report transactions,Failing to report transactions,$125
2013,"Menin, Julie",12/14/2017,Failing to file/late filing of daily pre-election disclosure statements,Failing to report/late reporting of transactions in daily pre-election disclosure statements,$200
2013,"Menin, Julie",12/14/2017,Accepting over-the-limit contributions,Accepting over-the-limit contributions,$250
2013,"Menin, Julie",12/14/2017,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",$300
2013,"Menin, Julie",12/14/2017,Accepting contributions from unregistered political committees,Accepting contributions from unregistered political committees,"$2,566"
2013,"Menin, Julie",12/14/2017,Failing to document transactions,Failing to document transactions,$200
2013,"Menin, Julie",12/14/2017,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,VNP
2013,"Menin, Julie",12/14/2017,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$100
2013,"Menin, Julie",12/14/2017,Exceeding the expenditure limit,Exceeding the expenditure limit,"$58,620"
2013,"Menin, Julie",12/14/2017,Repayment: FBB,Repayment: Final Bank Balance,"$138,639"
2013,"Oberman, Igor",12/14/2017,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$219
2013,"Oberman, Igor",12/14/2017,Repayment: FBB,Repayment: Final Bank Balance,"$1,589"
2013,"Greenfield, David",11/16/2017,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$853
2013,"Greenfield, David",11/16/2017,Making impermissible post-election expenditures,Making impermissible post-election expenditures,VNP
2013,"Lantigua, Manuel",11/16/2017,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$216
2013,"Lantigua, Manuel",11/16/2017,Submitting false expenditure documentation,Material misrepresentation; fraud; submission of false or fictitious information,"$2,250"
2013,"Lantigua, Manuel",11/16/2017,Accepting a contribution from a corporation,"Accepting contributions from corporations, limited liability companies, or partnerships",$125
2013,"Lantigua, Manuel",11/16/2017,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$255
2013,"Lantigua, Manuel",11/16/2017,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$1,112"
2015,"Najmi, Ali",10/26/2017,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,"$1,050"
2015,"Najmi, Ali",10/26/2017,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$50
2015,"Najmi, Ali",10/26/2017,Exceeding the expenditure limit,Exceeding the expenditure limit,"$7,619"
2013,"Sullivan, Andrew",10/13/2017,Failing to report a merchant account used for campaign purposes,Failing to disclose a bank account or political committee used in furtherance of the campaign,$100
2013,"Sullivan, Andrew",10/13/2017,Failing to provide bank/merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$200
2013,"Sullivan, Andrew",10/13/2017,Failing to report transactions,Failing to report transactions,$112
2013,"Sullivan, Andrew",10/13/2017,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$350
2013,"Sullivan, Andrew",10/13/2017,Failing to demonstrate compliance with reporting requirements for receipts and disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$250
2013,"Sullivan, Andrew",10/13/2017,Filing late disclosure statements,Failing to file/filing late disclosure statements,$520
2013,"Sullivan, Andrew",10/13/2017,Failing to file a disclosure statement,Failing to file/filing late disclosure statements,$300
2013,"Sullivan, Andrew",10/13/2017,Accepting an over-the-limit contribution,Accepting over-the-limit contributions,$440
2013,"Sullivan, Andrew",10/13/2017,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships","$1,048"
2013,"Sullivan, Andrew",10/13/2017,Failing to document transactions,Failing to document transactions,$400
2013,"Sullivan, Andrew",10/13/2017,Failing to report and document basic campaign functions/activities,Failing to report and document basic campaign functions/activities,$400
2013,"Sullivan, Andrew",10/13/2017,Maintaining a petty cash fund greater than $500,Maintaining a petty cash fund greater than $500,$46
2013,"Sullivan, Andrew",10/13/2017,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$296
2013,"Sullivan, Andrew",10/13/2017,Submitting false contribution reporting and documentation,Material misrepresentation; fraud; submission of false or ficticious information,"$2,743"
2013,"Sullivan, Andrew",10/13/2017,Material misrepresentation,Material misrepresentation; fraud; submission of false or ficticious information,"$5,000"
2013,"Sullivan, Andrew",10/13/2017,Failing to respond to audit requests for information and documentation,"Failing to respond/late response to IDR, DAR, etc.","$1,120"
2013,"Sullivan, Andrew",10/13/2017,Converting campaign funds to a personal use,Converting campaign funds to a personal use,$709
2013,"Sullivan, Andrew",10/13/2017,Breach of Certification,Breach of Certification,N/A
2016A,"Pabon, Julio",09/14/2017,Repayment: FBB,Repayment: Final Bank Balance,"$5,339.03"
2015A,"Borelli, Joseph",09/14/2017,Failing to timely return over-the-limit doing business contributions,Accepting over-the-limit Doing Business contributions,$300
2015A,"Borelli, Joseph",09/14/2017,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",$225
2015A,"Borelli, Joseph",09/14/2017,Accepting contributions from an unregistered political committee,Accepting contributions from unregistered political committees,$125
2013,"Gotbaum, Noah",09/14/2017,Filing a late disclosure statement,Failing to file/filing late disclosure statements,$50
2013,"Gotbaum, Noah",09/14/2017,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",$125
2013,"Gotbaum, Noah",09/14/2017,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$450
2013,"Gotbaum, Noah",09/14/2017,Failing to respond to an Inadequate Response Notice and late response to the Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.","$2,000"
2013,"Gotbaum, Noah",09/14/2017,Repayment: FBB,Repayment: Final Bank Balance,"$7,014.64"
2016A,"Alvarez, George",08/31/2017,Failing to report transactions,Failing to report transactions,$86
2016A,"Alvarez, George",08/31/2017,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$325
2016A,"Alvarez, George",08/31/2017,Failing to demonstrate compliance with reporting requirements for receipts and disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$500
2016A,"Alvarez, George",08/31/2017,Failing to provide employment information for contributions in excess of $99,Failing to provide employment information for contributions in excess of $99,VNP
2016A,"Alvarez, George",08/31/2017,Accepting a contribution from a corporation,"Accepting contributions from corporations, limited liability companies, or partnerships","$1,250"
2015,"Concannon, Joseph",08/31/2017,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$1,682"
2013,"Thompson, Jr., William",08/03/2017,Failing to provide bank statements,"Failing to provide bank, credit card, and merchant account statements",$500
2013,"Thompson, Jr., William",08/03/2017,Failing to report transactions,Failing to report transactions,"$3,716"
2013,"Thompson, Jr., William",08/03/2017,Filing a late disclosure statement,Failing to file/filing late disclosure statements,VNP
2013,"Thompson, Jr., William",08/03/2017,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$100
2013,"Thompson, Jr., William",08/03/2017,Failing to disclose political committees,Failing to disclose a bank account or political committee used in furtherance of the campaign,VNP
2013,"Thompson, Jr., William",08/03/2017,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$27,338"
2013,"Thompson, Jr., William",08/03/2017,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships","$24,803"
2013,"Thompson, Jr., William",08/03/2017,Failing to document transactions,Failing to document transactions,"$6,613"
2013,"Thompson, Jr., William",08/03/2017,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,"$2,900"
2013,"Thompson, Jr., William",08/03/2017,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$2,149"
2013,"Thompson, Jr., William",08/03/2017,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$544
2013,"Thompson, Jr., William",08/03/2017,Exceeding the expenditure limit,Exceeding the expenditure limit,"$16,692"
2013,"Thompson, Jr., William",08/03/2017,Commingling campaign funds with funds accepted for a different election,Failing to maintain a separate campaign bank account; using an undisclosed bank account in furtherance of the campaign; commingling campaign funds with personal or business funds or funds accepted for a different election,VNP
2013,"Hayon, Joseph",07/27/2017,Failing to report transactions,Failing to report transactions,$99
2013,"Hayon, Joseph",07/27/2017,Failing to demonstrate compliance with reporting requirements for disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$500
2013,"Hayon, Joseph",07/27/2017,Filing a late disclosure statement,Failing to file/filing late disclosure statements,$50
2013,"Hayon, Joseph",07/27/2017,Accepting contributions from corporations,"Accepting contributions from corporations, limited liability companies, or partnerships","$1,350"
2013,"Hayon, Joseph",07/27/2017,Failing to document a transaction,Failing to document transactions,VNP
2013,"Hayon, Joseph",07/27/2017,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$977
2013,"Hayon, Joseph",07/27/2017,Failing to respond to the Initial Documentation Request and filing a late response to the Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.","$2,810"
2013,"Hayon, Joseph",07/27/2017,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$19,859"
2013,"Narcisse, Mercedes",07/27/2017,Failing to report a merchant account used for campaign purposes,Failing to disclose a bank account or political committee used in furtherance of the campaign,$50
2013,"Narcisse, Mercedes",07/27/2017,Failing to provide bank statements,"Failing to provide bank, credit card, and merchant account statements",$500
2013,"Narcisse, Mercedes",07/27/2017,Failing to report transactions,Failing to report transactions,$872
2013,"Narcisse, Mercedes",07/27/2017,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$960
2013,"Narcisse, Mercedes",07/27/2017,Failing to demonstrate compliance with reporting requirements for disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,VNP
2013,"Narcisse, Mercedes",07/27/2017,Filing late disclosure statements,Failing to file/filing late disclosure statements,$875
2013,"Narcisse, Mercedes",07/27/2017,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$1,650"
2013,"Narcisse, Mercedes",07/27/2017,Accepting an in-kind contribution from a corporation,"Accepting contributions from corporations, limited liability companies, or partnerships",$125
2013,"Narcisse, Mercedes",07/27/2017,Accepting contributions from unregistered political committees,Accepting contributions from unregistered political committees,$250
2013,"Narcisse, Mercedes",07/27/2017,Failing to document basic campaign functions,Failing to report and document basic campaign functions/activities,$500
2013,"Narcisse, Mercedes",07/27/2017,Failing to document transactions,Failing to document transactions,$300
2013,"Narcisse, Mercedes",07/27/2017,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,$200
2013,"Narcisse, Mercedes",07/27/2017,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$2,549"
2013,"Narcisse, Mercedes",07/27/2017,"Failing to respond to the Initial Documentation Request, and an audit request","Failing to respond/late response to IDR, DAR, etc.","$2,166"
2013,"Narcisse, Mercedes",07/27/2017,Payment: Qualified Expenditure Surplus,Payment: Qualified Expenditure Surplus,"($1,648)"
2013,"Weprin, Mark",07/27/2017,Accepting over-the-limit contributions from two contributors doing business with the city,Accepting over-the-limit Doing Business contributions,$250
2013,"Weprin, Mark",07/27/2017,Accepting a contribution from a limited liability company,"Accepting contributions from corporations, limited liability companies, or partnerships",$125
2013,"Weprin, Mark",07/27/2017,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,$100
2013,"Weprin, Mark",07/27/2017,Making a cash expenditure greater than $100,Making cash expenditures greater than $100,$50
2013,"Weprin, Mark",07/27/2017,Late response to the Initial Documentation Request,"Failing to respond/late response to IDR, DAR, etc.",$471
2013,"Alvarez, Pedro",07/13/2017,Failing to report eighteen transactions,Failing to report transactions,$636
2013,"Alvarez, Pedro",07/13/2017,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,"$1,101"
2013,"Alvarez, Pedro",07/13/2017,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,VNP
2013,"Alvarez, Pedro",07/13/2017,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",$250
2013,"Alvarez, Pedro",07/13/2017,Accepting an over-the-limit contribution,Accepting over-the-limit contributions,$742
2013,"Alvarez, Pedro",07/13/2017,Failing to report and document in-kind contributions,Failing to report transactions,$226
2013,"Alvarez, Pedro",07/13/2017,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$1,054"
2013,"Alvarez, Pedro",07/13/2017,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$117
2013,"Alvarez, Pedro",07/13/2017,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$23,594"
2013,"Duncan, Michael",07/13/2017,Failing to report transactions,Failing to report transactions,$56
2013,"Duncan, Michael",07/13/2017,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$110
2013,"Duncan, Michael",07/13/2017,Failing to demonstrate compliance with reporting requirements for disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$250
2013,"Duncan, Michael",07/13/2017,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$694
2013,"Duncan, Michael",07/13/2017,Making impermissible post-election expenditures,Making impermissible post-election expenditures,"$1,583"
2013,"Duncan, Michael",07/13/2017,Commingling campaign funds with personal or business funds and/or funds accepted for a different election,Failing to maintain a separate campaign bank account; using an undisclosed bank account in furtherance of the campaign; commingling campaign funds with personal or business funds or funds accepted for a different election,"$5,293"
2013,"Duncan, Michael",07/13/2017,Late response to an audit documentation and information request,"Failing to respond/late response to IDR, DAR, etc.",$250
2013,"Duncan, Michael",07/13/2017,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$14,497"
2013,"Eugene, Mathieu",07/13/2017,Failing to report transactions,Failing to report transactions,$338
2013,"Eugene, Mathieu",07/13/2017,Failing to demonstrate compliance with reporting requirements for receipts,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,"$1,000"
2013,"Eugene, Mathieu",07/13/2017,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$1,100"
2013,"Eugene, Mathieu",07/13/2017,Accepting a contribution from a corporation,"Accepting contributions from corporations, limited liability companies, or partnerships",$625
2013,"Eugene, Mathieu",07/13/2017,Failing to document transactions,Failing to document transactions,$300
2013,"Eugene, Mathieu",07/13/2017,Making cash expenditures greater than $100,Making cash expenditures greater than $100,$100
2013,"Eugene, Mathieu",07/13/2017,Maintaining a petty cash fund greater than $500,Maintaining a petty cash fund greater than $500,$51
2013,"Eugene, Mathieu",07/13/2017,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$226
2013,"Eugene, Mathieu",07/13/2017,Converting campaign funds to a personal use,Converting campaign funds to a personal use,"$2,245"
2013,"Eugene, Mathieu",07/13/2017,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$771
2013,"Eugene, Mathieu",07/13/2017,Commingling campaign funds with funds accepted for a different election,Failing to maintain a separate campaign bank account; using an undisclosed bank account in furtherance of the campaign; commingling campaign funds with personal or business funds or funds accepted for a different election,$250
2013,"Eugene, Mathieu",07/13/2017,Failing to respond to the Initial Documentation Request,"Failing to respond/late response to IDR, DAR, etc.",$878
2013,"Eugene, Mathieu",07/13/2017,Payment: Documented Outstanding Liabilities,Payment: Documented Outstanding Liabilities,"($2,000)"
2013,"Liu, John",07/13/2017,Failing to report transactions,Failing to report transactions,$134
2013,"Liu, John",07/13/2017,Accepting over-the-limit contributions,Accepting over-the-limit contributions,$250
2013,"Liu, John",07/13/2017,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",$750
2013,"Liu, John",07/13/2017,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$125
2013,"Liu, John",07/13/2017,Failing to document transactions,Failing to document transactions,$700
2013,"Liu, John",07/13/2017,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,"$4,100"
2013,"Liu, John",07/13/2017,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,VNP
2013,"Liu, John",07/13/2017,Material misrepresentation and fraud,Material misrepresentation; fraud; submission of false or ficticious information,"$20,000"
2013,"Liu, John",07/13/2017,Breach of certification,Breach of Certification,N/A
2013,"Morgan, Vincent",07/13/2017,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$3,336"
2013,"Morgan, Vincent",07/13/2017,Failing to document transactions,Failing to document transactions,$263
2013,"Morgan, Vincent",07/13/2017,Failure to provide bank and merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$243
2013,"Morgan, Vincent",07/13/2017,Failure to report a bank account used for campaign purposes,Failing to disclose a bank account or political committee used in furtherance of the campaign,$122
2013,"Morgan, Vincent",07/13/2017,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships","$6,115"
2013,"Morgan, Vincent",07/13/2017,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,"$1,215"
2013,"Morgan, Vincent",07/13/2017,Failing to file and late filing of disclosure statements,Failing to file/filing late disclosure statements,$875
2013,"Morgan, Vincent",07/13/2017,Failing to report transactions,Failing to report transactions,"$1,652"
2013,"Morgan, Vincent",07/13/2017,Failing to respond to the Initial Documentation Request and late response to the Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.","$1,398"
2013,"Garodnick, Daniel",06/15/2017,Failing to provide merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$500
2013,"Garodnick, Daniel",06/15/2017,Failing to report transactions,Failing to report transactions,$829
2013,"Garodnick, Daniel",06/15/2017,Failing to demonstrate compliance with reporting requirements for disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$250
2013,"Garodnick, Daniel",06/15/2017,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$2,950"
2013,"Garodnick, Daniel",06/15/2017,Accepting over-the-limit Doing Business contributions,Accepting over-the-limit Doing Business contributions,"$8,000"
2013,"Garodnick, Daniel",06/15/2017,Failing to document in-kind contributions,Failing to document transactions,$100
2013,"Garodnick, Daniel",06/15/2017,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,"$1,400"
2013,"Garodnick, Daniel",06/15/2017,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",No violation
2013,"Garodnick, Daniel",06/15/2017,Late response to Draft Audit Report and Initial Documentation Request,"Failing to respond/late response to IDR, DAR, etc.","$1,868"
2013,"Garodnick, Daniel",06/15/2017,Commingling campaign funds with personal or business funds and/or funds accepted for a different election,Failing to maintain a separate campaign bank account; using an undisclosed bank account in furtherance of the campaign; commingling campaign funds with personal or business funds or funds accepted for a different election,VNP
2013,"Saujani, Reshma",06/15/2017,Failing to report transactions,Failing to report transactions,$228
2013,"Saujani, Reshma",06/15/2017,Failing to file daily pre-election disclosure statements,Failing to report/late reporting of transactions in daily pre-election disclosure statements,$200
2013,"Saujani, Reshma",06/15/2017,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$300
2013,"Saujani, Reshma",06/15/2017,Accepting over-the-limit contributions,Accepting over-the-limit contributions,$625
